nlcd,hsg,condition,cn
11,A,poor,100
11,B,poor,100
11,C,poor,100
11,D,poor,100
21,A,poor,68
21,B,poor,79
21,C,poor,86
21,D,poor,89
22,A,poor,77
22,B,poor,85
22,C,poor,90
22,D,poor,92
23,A,poor,85
23,B,poor,90
23,C,poor,94
23,D,poor,95
24,A,poor,89
24,B,poor,92
24,C,poor,95
24,D,poor,96
31,A,poor,77
31,B,poor,86
31,C,poor,91
31,D,poor,94
41,A,poor,45
41,B,poor,66
41,C,poor,77
41,D,poor,83
42,A,poor,45
42,B,poor,66
42,C,poor,77
42,D,poor,83
43,A,poor,45
43,B,poor,66
43,C,poor,77
43,D,poor,83
52,A,poor,48
52,B,poor,67
52,C,poor,77
52,D,poor,83
71,A,poor,68
71,B,poor,79
71,C,poor,86
71,D,poor,89
81,A,poor,72
81,B,poor,81
81,C,poor,88
81,D,poor,91
82,A,poor,76
82,B,poor,85
82,C,poor,90
82,D,poor,93
90,A,poor,78
90,B,poor,85
90,C,poor,89
90,D,poor,92
95,A,poor,78
95,B,poor,85
95,C,poor,89
95,D,poor,92
